;ID;Context/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortext/natural surface (in general);Cortical piece (>50%);Other comments
;1546;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Complete;Type 4;66;17;19;Plain;11;10;Flaking;Diffuse;Straight;Overpass;Off-axis right;Hinged;Trapezoidal;Yes;Yes;None;0;0;Very steep edge-overshoot from the intersection of two reduction faces (almost 90degree angle), product looks like thick burin spall
;247;An2-2013-Ob1-Pos1;Blade;Distal;n/a;n/a;20;11;n/a;n/a;n/a;n/a;n/a;Acute pointed;Overpass;n/a;Curved;Trapezoidal;Yes;No;None;0;0;"Distal tip of advanced central overshoot blade with cut neatives of a couple of V-converging laminar negatives not reaching the end of the reduction surface and creating a ""overhang"" there); exotic RM?"
;248;An2-2013-Ob1-Pos1;Blade;Distal;n/a;n/a;14;7;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;n/a;Hinged;Triangular;No;No;None;1;0;Central intercalation product hinging at distal cortex (<10%)
;1112;An2-2015-Ob2;Blade;Distal;Type 4;n/a;21;7;n/a;n/a;n/a;n/a;;n/a;Overpass;Off-axis right;Twisted;Trapezoidal;Yes;No;None;0;0;Distal overshoot fragment on centralised blade (preparing the new sequence!)
;246;An2-2013-Ob1-Pos1;Blade;Proximal;Type 3;n/a;19;5;n/a;n/a;n/a;n/a;n/a;Acute pointed;Target central product;In-axis;Hinged;Triangular;No;Yes;None;0;0;Probably elongated hinged intercalation product
;1243;An2-2015-Ob2;Blade;Proximal;n/a;n/a;24;9;Plain;19;12;Flaking;Diffuse;Acute pointed;Lateral product;In-axis;Twisted;Triangular;No;No;None;0;0;Core-edge blade from the intersection of the broad and narrow side of the core
;1531;An2-2015-Ob2;Blade;Proximal;n/a;n/a;23;9;Plain;16;6;Flaking;Pronounced;n/a;Target central product;In-axis;Twisted;Trapezoidal;Yes;No;None;0;0;
;1544;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Proximal;n/a;n/a;37;13;Plain;15;6;Absent;Pronounced;n/a;Target central product;Off-axis left;Straight;Trapezoidal;Yes;No;None;0;0;
;1572;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Proximal;n/a;n/a;26;10;Plain;12;8;Absent;Diffuse;n/a;Lateral product;Off-axis left;Twisted;Triangular;Yes;No;None;1;0;ca 40% lateral cortex
;1226;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Proximal;n/a;n/a;31;9;Partially Faceted;15;8;Absent;Diffuse;n/a;Target central product;In-axis;Slightly curved;Triangular;No;No;None;0;0;
;1218;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Proximal;n/a;n/a;24;8;Plain;15;8;Absent;Diffuse;n/a;Lateral product;Off-axis right;Straight;Triangular;No;No;None;1;0;Blade from the egde of the core, with 90degree edge angle covert with cortex (10% of total surface)
;1819;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Bladelet;Proximal;Type 1;n/a;12;2;Plain;9;2;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
;1538;An2-2013-Ob1-Pos1;Flake;Complete;;31;42;12;Faceted;35;11;;Pronounced;;Preparatory;;Hinged;;No;No;None;0;0;CLASSIC core-tablet flake suggestion the occasional installation of two adjacent reduction surfaces at almost 90degree (late turning of almost exhausted cores?)
;1520;An2-2013-Ob1-Pos1;Flake;Complete;;46;60;13;Cortical/Natural Surface;12;3;Flaking;Pronounced;;Preparatory;;Hinged;Trapezoidal;No;No;None;1;0;Core platform flake (almost core tablet but only one cut blade reduction negative on supposed red surface) but showing that local adjustment were made to prepare the striking platform
;191;An2-2015-Ob2;Flake;Complete;;32;20;7;Punctiform;1;1;Absent;Diffuse;Curved;Lateral product;In-axis;Twisted;Side blade/débordant;No;No;None;1;0;Lateral core-edge flake with steep almost 90degrees edge with cortext (20%)
;306-307;An2-2015-Ob2;Flake;Complete;;41;24;7;Plain;23;8;Flaking;Non-visible;Wide pointed;Lateral product;Off-axis left;Straight;Triangular;No;No;None;1;0;Lateral product with minor part of natural surface on left lateral
;1626;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Flake;Complete;;50;72;16;Punctiform;3;3;Absent;Pronounced;n/a;Preparatory;;;;;;None;0;0;Unclear piece, but probably failed preparation of core
;1555;An2-2013-Ob1-Pos1;Triangular Point;Almost Complete;Type 1;57;33;9;Partially Faceted;19;6;Flaking;Pronounced;Acute pointed;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Hinge is very subtle, typical triangular central wide-short product
;1601;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Triangular Point;Almost Complete;Type 1;63;28;8;Dihedral;20;4;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;"Almost overshoot central triangular, ""Levallois point-like"" product from advanced stages (complex dorsal scar structure)"
;1612;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Triangular Point;Almost Complete;Type 1;58;25;10;Plain;8;4;Absent;Diffuse;Acute pointed;n/a ;Off-axis left;Twisted;Triangular;No;No;None;1;0;"Atypical triangular point, probably edge preparation/lateral position due to the small cortical distal coverage; area next to the plaform sensu stricto is facetted and facets ""cut"" the main laminar negatives on the dorsal face of the piece suggesting that this is a late removal where two adjacent almost 90degree surfaces were in place"
;1609;An2-2013-Ob1-Pos1;Triangular Point;Complete;Type 1;54;21;7;Partially Faceted;19;7;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;
;249;An2-2013-Ob1-Pos1;Triangular Point;Complete;Type 1;58;25;8;Plain;19;8;Absent;Pronounced;Acute pointed;Initial Shaping/Decortification;Off-axis left;Twisted;Trapezoidal;No;Yes;None;1;1;Cortical (>60%) pseudo-triangular point with dorsal hinged triangular removal
;1237;An2-2013-Ob1-Pos1;Triangular Point;Complete;Type 1;41;23;10;Plain;22;10;Absent;Diffuse;Acute pointed;Lateral product;In-axis;Straight;Trapezoidal;Yes;No;None;1;0;Cortical (ca. 40%) triangular flake close to lateral end of reduction surface with another similarly shaped smaller triangular removal and two adjacent proximal non-removed overhangs
;1571;An2-2015-Ob2;Triangular Point;Complete;Type 1;88;33;23;Plain;13;12;Absent;Diffuse;Acute pointed;Overpass;Off-axis left;Twisted;Trapezoidal;No;No;None;1;0;Extremely twisted and steep, unsual triangular point with single cresting negative at distal end (pseud-crested element) and left lateral natural surface remnant
;374;An2-2015-Ob2;Triangular Point;Complete;Type 1;40;21;6;Dihedral;21;4;Absent;Pronounced;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;TEXTBOOK central triangular product with similarly-structured dorsal triangular scar negative
;337;An2-2015-Ob2;Triangular Point;Complete;Type 1;64;32;10;Partially Faceted;22;8;Flaking;Pronounced;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None;0;0;Tropfen-shaped triangular point
;1599;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Triangular Point;Complete;Type 1;71;30;9;Partially Faceted;21;8;Absent;Diffuse;Acute pointed;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;No;None;0;0;Atypical Type 1 triangular point (more nosed on the tip) with triangular V-ridge scar structure on the proximal part
;1621;An2-2015-Ob2;Blade;Almost Complete;Type 4;66;33;12;Partially Faceted;14;8;Absent;Diffuse;Curved;Overpass;In-axis;Curved;Trapezoidal;Yes;No;None (beginning of curved endscraper on right distal end);1;0;Curved distal overshot end is cortical, otherwise the IDEAL blank for an endscraper!!! Exotic RM?
;1563;An2-2013-Ob1-Pos1;Blade;Proximal;n/a;n/a;29;9;Plain;30;6;Abrasion;Pronounced;n/a;n/a ;In-axis;Straight;Trapezoidal;No;No;None (clear use-wear on right-lateral proximal portion);1;0;ca 30% cortex, early central product with lateral use-wear
;1215;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Complete;Type 4;67;24;7;Plain;14;4;Flaking;Pronounced;Straight;Overpass;Off-axis right;Curved;Trapezoidal;Yes;Yes;None (clear use-wear on the right lateral side towards the cortical end);1;0;"Central overpass with complex dorsal scar structure (advanced sequence) with natural cortical ending (>10%) and used as ""knife"" afterwards"
;1221;An2-2015-Ob2;Blade;Proximal;n/a;n/a;16;7;Plain;12;6;Flaking;Diffuse;n/a;Target central product;Off-axis left;Straight;Trapezoidal;No;No;None (distal concave use-wear retouch which has probably led to tip breakage);0;0;Elongated product, possibly with a central laminar negative coming from the other direction of the core surface
;1567;An2-2013-Ob1-Pos1;Blade;Almost Complete;Type 2;79;26;9;Plain;19;3;Flaking;Pronounced;Acute pointed;Lateral product;Off-axis right;Twisted;Trapezoidal;No;Yes;None (distal use-wear along almost entire edge opposed to cortical side plus tip-use-wear = cortical knife-blade!);1;1;"Non-formal ""knife"" on cortcial (ca. 50%) lateral blade"
;1557;An2-2015-Ob2;Blade;Almost Complete;Type 4;62;24;10;Plain;11;7;Absent;Non-visible;Straight;Overpass;In-axis;Slightly curved;Trapezoidal;Yes;No;None (distal use-wear along the straight overpass edge);1;1;Ca 50% cortext on right side, overpass steep-straight edge use as a working edge
;1556;An2-2015-Ob2;Blade;Almost Complete;Type 4;72;40;12;Plain;7;3;Abrasion;Non-visible;Straight;Overpass;In-axis;Curved;Trapezoidal;No;No;None (distal weak use-wear and regular left-lateral use wear on top of cortex);1;0;Lateral cortex bearing overshoot blade (20%) broken at the proximal-left part with use of distal straight as ad-hoc scraper-knife?
;1575;An2-2015-Ob2;Blade;Complete;Type 3;71;34;14;Plain;20;9;Absent;Diffuse;Acute pointed;Lateral product;Off-axis right;Slightly curved;Triangular;Yes;No;None (dorsal use-wear along a large chunk of the left-lateral side towards the tip on top of natural surface and on the right-ventral side (inverse);1;0;"Bilateral ""knife"" (non-formal) on earlier technical product"
;1561;An2-2015-Ob2;Blade;Complete;Type 4;77;39;15;Plain;12;5;Absent;Pronounced;Curved;Overpass;In-axis;Curved;Trapezoidal;Yes;No;"None (local use-wear on the distal left-lateral part, right next to the ""tip"")";1;0;Largeral overshoot product with 20% cortex on the right side
;185;An2-2015-Ob2;Blade;Complete;Type 3;65;17;7;Plain;9;4;Absent;Diffuse;Acute pointed;Overpass;In-axis;Curved;Triangular;Yes;No;"None (potential use-wear at the ventral tip possibly using the natural ""awl""-like shape resulting from the overpass)";1;0;Central overpass with natural pointed ending (central removal) with distal-left-lateral natural surface
;1551;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Flake;Complete;;114;93;56;Faceted;59;13;Flaking;Diffuse;;Initial Shaping/Decortification;In-axis;Slightly curved;Side blade/débordant;No;No;None (potential use-wear on the left-lateral on top of the cortex-bearing steep side;1;0;steep preparatory flake to open up the flaking surface (remanants of previous removals preserved on the the flaking surface (intialization platform flake)
;1588;An2-2013-Ob1-Pos1;Triangular Point;Complete;Type 1;50;34;11;Cortical/Natural Surface;13;8;Absent;Pronounced;Acute pointed;Target central product;In-axis;Straight;Trapezoidal;Yes;No;None (right disto-lateral use-wear close to tip);0;0;exotic RM and shows that these almost Levallois-point like removals were also used and potentially imported
;1613;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Triangular Point;Almost Complete;Type 1;61;26;6;Plain;14;5;Absent;Pronounced;Acute pointed;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;No;None (right lateral use-wear);0;0;Shows that central leaf-shaped pieces were used in plain fashion
;1584;An2-2015-Ob2;Triangular Point;Complete;Type 1;65;30;10;Plain;24;7;Absent;Large Scar;Acute pointed;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;Yes;None (use-wear at the left and right laterals of the tip, extending down towards most of the right lateral);0;0;Larger triangular product showing that these products were used unretouched
;1625;An2-2015-Ob2;Blade;Complete;Type 2;116;47;14;Plain;23;5;Absent;Diffuse;Acute pointed;Overpass;In-axis;Hinged;Trapezoidal;Yes;Yes;None (use-wear at the right disto-lateral part close to the tip);0;0;Large broad convergent overpass blade to open up the second reduction sequence
;1630;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Complete;Type 4;66;19;10;Plain;14;6;Absent;Diffuse;Curved;Overpass;In-axis;Twisted;Trapezoidal;No;No;None (use-wear on both proximal laterals);1;0;Overpass blade with minor portion of cortex on proximal side
;1247;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Triangular Point;Almost Complete;Type 1;43;21;9;Plain;14;9;Absent;Diffuse;Acute pointed;Target central product;Off-axis left;Slightly curved;Triangular;Yes;No;None (use-wear on disto-lateral left edge);0;0;Evidence for plain use of triangular points
;179;An2-2015-Ob2;Triangular Point;Almost Complete;Type 1;50;24;5;Partially Faceted;13;5;Flaking;Pronounced;Acute pointed;Target central product;In-axis;Slightly curved;Trapezoidal;Yes;No;None (ventral use-wear on right-laterl side close to the tip);0;0;"Usage of central triangular ""Levallois point-like"" pieces, possibly non-local RM?"
;1573;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Complete;Type 4;139;53;22;Plain;27;15;Absent;Pronounced;Straight;Initial Shaping/Decortification;Off-axis right;Curved;Trapezoidal;No;No;None (weak use-wear on both distal ventral sides);1;1;Cortical (80%) initialisation blade to open up the striking/flaking surface 
